Date;Open;High;Low;Close;Volume
2012.11.26  12:00:00;131.421;131.752;131.295;131.535;20646
2012.11.26  16:00:00;131.533;131.677;131.366;131.503;16978
2012.11.26  20:00:00;131.502;131.621;131.392;131.514;8259
2012.11.27  00:00:00;131.512;131.629;131.151;131.460;10482
2012.11.27  04:00:00;131.457;131.984;131.376;131.853;11969
2012.11.27  08:00:00;131.852;132.070;131.400;131.558;22117
2012.11.27  12:00:00;131.558;131.956;131.357;131.924;22134
2012.11.27  16:00:00;131.926;132.000;131.588;131.800;18018
2012.11.27  20:00:00;131.802;131.802;131.438;131.448;8399
2012.11.28  00:00:00;131.447;131.653;130.938;131.055;11052
2012.11.28  04:00:00;131.058;131.127;130.737;130.914;13120
2012.11.28  08:00:00;130.918;131.222;130.775;131.008;21852
2012.11.28  12:00:00;131.009;131.043;130.562;130.659;21794
2012.11.28  16:00:00;130.665;131.152;130.439;131.104;21822
2012.11.28  20:00:00;131.104;131.461;130.985;131.403;9625
2012.11.29  00:00:00;131.402;131.611;131.291;131.402;9831
2012.11.29  04:00:00;131.404;131.668;131.300;131.446;11512
2012.11.29  08:00:00;131.447;131.657;131.404;131.484;20475
2012.11.29  12:00:00;131.483;131.836;131.347;131.512;13985
2012.11.29  16:00:00;131.518;131.758;131.234;131.674;14267
2012.11.29  20:00:00;131.667;131.742;131.598;131.707;4401
2012.11.30  00:00:00;131.708;132.414;131.546;132.259;8892
2012.11.30  04:00:00;132.258;132.395;132.108;132.261;13096
2012.11.30  08:00:00;132.260;132.775;132.251;132.514;22358
2012.11.30  12:00:00;132.513;132.778;131.982;131.986;22064
2012.11.30  16:00:00;131.985;132.276;131.963;132.180;20465
2012.11.30  20:00:00;132.177;132.180;131.919;132.012;7012
2012.12.03  00:00:00;132.016;132.207;131.894;132.113;9991
2012.12.03  04:00:00;132.114;132.243;131.847;132.023;9961
2012.12.03  08:00:00;132.021;132.082;131.581;131.859;19557
2012.12.03  12:00:00;131.861;132.422;131.790;132.331;20040
2012.12.03  16:00:00;132.327;132.522;132.114;132.297;17332
2012.12.03  20:00:00;132.294;132.350;132.214;132.245;7908
2012.12.04  00:00:00;132.244;132.287;131.950;132.016;8681
2012.12.04  04:00:00;132.017;132.230;132.009;132.089;11000
2012.12.04  08:00:00;132.094;132.292;131.790;132.141;19732
2012.12.04  12:00:00;132.140;132.236;131.822;131.947;18945
2012.12.04  16:00:00;131.947;132.044;131.538;131.796;18143
2012.12.04  20:00:00;131.799;131.929;131.712;131.815;8395
2012.12.05  00:00:00;131.816;132.395;131.658;132.287;9862
2012.12.05  04:00:00;132.288;132.644;132.265;132.585;9945
2012.12.05  08:00:00;132.583;132.633;132.195;132.350;10598
2012.12.05  12:00:00;132.351;132.458;131.958;132.171;11735
2012.12.05  16:00:00;132.172;132.731;132.140;132.590;16594
2012.12.05  20:00:00;132.589;132.714;132.478;132.607;7351
2012.12.06  00:00:00;132.605;132.796;132.486;132.786;9435
2012.12.06  04:00:00;132.787;132.868;132.509;132.641;10127
2012.12.06  08:00:00;132.644;132.886;132.481;132.711;17182
2012.12.06  12:00:00;132.710;132.871;132.521;132.686;20849
2012.12.06  16:00:00;132.690;132.699;132.035;132.118;17844
2012.12.06  20:00:00;132.112;132.275;132.097;132.170;7482
2012.12.07  00:00:00;132.174;132.477;132.157;132.393;8641
2012.12.07  04:00:00;132.394;132.426;132.195;132.299;8593
2012.12.07  08:00:00;132.302;132.365;131.782;132.016;18822
2012.12.07  12:00:00;132.015;132.585;131.666;132.223;21055
2012.12.07  16:00:00;132.225;132.318;131.747;132.015;16818
2012.12.07  20:00:00;132.014;132.301;131.975;132.255;4847
2012.12.10  00:00:00;132.360;132.436;132.101;132.164;9380
2012.12.10  04:00:00;132.163;132.186;131.956;132.097;8866
2012.12.10  08:00:00;132.101;132.155;131.657;131.766;18079
2012.12.10  12:00:00;131.768;132.388;131.728;132.388;17573
2012.12.10  16:00:00;132.388;132.434;132.228;132.352;13657
2012.12.10  20:00:00;132.347;132.413;132.227;132.337;5894
2012.12.11  00:00:00;132.355;132.467;132.313;132.437;6740
2012.12.11  04:00:00;132.436;132.467;132.331;132.428;8888
2012.12.11  08:00:00;132.430;132.724;132.326;132.666;17975
2012.12.11  12:00:00;132.666;132.736;132.431;132.675;17465
2012.12.11  16:00:00;132.676;133.011;132.605;132.951;16789
2012.12.11  20:00:00;132.952;133.054;132.813;132.981;7472
2012.12.12  00:00:00;132.978;133.075;132.878;133.010;7690
2012.12.12  04:00:00;133.007;133.275;133.006;133.257;9317
2012.12.12  08:00:00;133.256;133.819;133.178;133.719;20298
2012.12.12  12:00:00;133.718;133.873;133.632;133.650;17818
2012.12.12  16:00:00;133.651;134.600;133.530;134.423;21110
2012.12.12  20:00:00;134.424;134.506;134.137;134.211;10354
2012.12.13  00:00:00;134.210;134.552;134.112;134.513;10028
2012.12.13  04:00:00;134.518;135.059;134.518;134.916;11963
2012.12.13  08:00:00;134.918;135.012;134.210;134.461;20704
2012.12.13  12:00:00;134.459;134.839;134.342;134.601;19303
2012.12.13  16:00:00;134.598;134.902;134.277;134.582;19148
